run_label,scenario,seed,device,sim_time_ms,utilization_fraction
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1475.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1475.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1475.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1475.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1525.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1525.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1525.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1525.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1525.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1575.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1575.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1575.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1575.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1575.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1600.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1600.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1600.000,0.000000
